domain	phylum	class	order	family	genus	species	genbank	protein	prokka	description	oldname
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella_aurantiaca_DW4/3-1	CP002271.1	ADO74176	NA	Adventurous gliding motility protein X	ADO74176.1_Adventurous_gliding_motility_protein_X
Bacteria	Acidobacteria	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Sulfidibacter	Sulfidibacter_corallicola	CP071793.1	QTD50766	NA	MotA/TolQ/ExbB proton channel family protein	QTD50766.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	Pirellula_staleyi_DSM_6068	CP001848.1	ADB17385	NA	MotA/TolQ/ExbB proton channel	ADB17385.1_MotA/TolQ/ExbB_proton_channel_[Pirellu
Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_santarosai_serovar_Shermani_str._LT_821	CP006694.1	EKT86693	NA	flagellar motor protein MotP	EKT86693.1_flagellar_motor_protein_MotP_[Leptospi
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	Pirellula_staleyi_DSM_6068	CP001848.1	ADB18690	NA	hypothetical protein Psta_4037	ADB18690.1_hypothetical_protein_Psta_4037_[Pirell
Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira_moscoviensis	CP011801.1	ALA60092	NA	Protein TolQ	ALA60092.1_Protein_TolQ_[Nitrospira_moscoviensis]
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Geovibrionaceae	Denitrovibrio	Denitrovibrio_acetiphilus_DSM_12809	CP001968.1	ADD67874	NA	MotA/TolQ/ExbB proton channel	ADD67874.1_MotA/TolQ/ExbB_proton_channel_[Denitro
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans	JAHKPP010000017.1	MBU2985168	NA	MotA/TolQ/ExbB proton channel family protein	MBU2985168.1_MotA/TolQ/ExbB_proton_channel_family
Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_cholerae	CP043556.1	QEO43084	NA	MotA/TolQ/ExbB proton channel family protein	QEO43084.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Lignipirellula	Lignipirellula_cremea	CP036433.1	QDU93364	NA	Biopolymer transport protein ExbB	QDU93364.1_Biopolymer_transport_protein_ExbB_[Lig
Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_pittii_PHEA-2	CP002177.1	ADY83951	NA	MotA/TolQ/ExbB proton channel	ADY83951.1_MotA/TolQ/ExbB_proton_channel_[Acineto
Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter_succinogenes_subsp._succinogenes_S85	CP001792.1	ACX74512	NA	MotA/TolQ/ExbB proton channel	ACX74512.1_MotA/TolQ/ExbB_proton_channel_[Fibroba
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter_dehalogenans_2CP-1	CP001359.1	ACL64052	NA	protein TolQ	ACL64052.1_protein_TolQ_[Anaeromyxobacter_dehalog
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio_japonicus	CP043306.1	QEI18324	NA	energy transducer TonB	QEI18324.1_energy_transducer_TonB_[Cellvibrio_jap
Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas_phototrophica	CP011454.1	AMW06484	NA	flagellar motor protein MotA	AMW06484.1_flagellar_motor_protein_MotA_[Gemmatim
Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_alpina	CP061038.1	QNQ10683	NA	MotA/TolQ/ExbB proton channel family protein	QNQ10683.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus_roseus_DSM_18391	CP003379.1	AFL88473	NA	flagellar motor component	AFL88473.1_flagellar_motor_component_[Terriglobus
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio_japonicus	CP043306.1	QEI19744	NA	flagellar motor protein	QEI19744.1_flagellar_motor_protein_[Cellvibrio_ja
Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_santarosai_serovar_Shermani_str._LT_821	CP006694.1	EKT88184	NA	biopolymer transporter	EKT88184.1_biopolymer_transporter_[Leptospira_san
Bacteria	Pseudomonadota	Deltaproteobacteria	Bradymonadales	Bradymonadaceae	Bradymonas	Bradymonas_sediminis	CP030032.1	AWV88602	NA	flagellar motor protein MotA	AWV88602.1_flagellar_motor_protein_MotA_[Bradymon
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter_nitrofigilis_DSM_7299	CP001999.1	ADG94140	NA	MotA/TolQ/ExbB proton channel	ADG94140.1_MotA/TolQ/ExbB_proton_channel_[Arcobac
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans	JAHKPP010000007.1	MBU2984437	NA	protein TolQ	MBU2984437.1_protein_TolQ_[Saccharophagus_degrada
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia_pestis	CP009844.1	AJJ31614	NA	tonB-system energizer ExbB	AJJ31614.1_tonB-system_energizer_ExbB_[Yersinia_p
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema_pallidum_subsp._pertenue	CP021113.1	AWG41586	NA	Mot family proton (H+) or sodium (Na+) transporter MotA	AWG41586.1_Mot_family_proton_(H+)_or_sodium_(Na+)
Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira_intermedia_PWS/A	CP002874.1	AEM22241	NA	biopolymer transport protein ExbB	AEM22241.1_biopolymer_transport_protein_ExbB_[Bra
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Geovibrionaceae	Denitrovibrio	Denitrovibrio_acetiphilus_DSM_12809	CP001968.1	ADD68377	NA	MotA/TolQ/ExbB proton channel	ADD68377.1_MotA/TolQ/ExbB_proton_channel_[Denitro
Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_pittii_PHEA-2	CP002177.1	ADY81560	NA	putative biopolymer transport protein ExbB	ADY81560.1_putative_biopolymer_transport_protein_
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Geovibrionaceae	Denitrovibrio	Denitrovibrio_acetiphilus_DSM_12809	CP001968.1	ADD67744	NA	MotA/TolQ/ExbB proton channel	ADD67744.1_MotA/TolQ/ExbB_proton_channel_[Denitro
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Anatilimnocola	Anatilimnocola_aggregata	CP036274.1	QDU25289	NA	Chemotaxis protein LafT	QDU25289.1_Chemotaxis_protein_LafT_[Anatilimnocol
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans_2-40	CP000282.1	ABD82073	NA	MotA/TolQ/ExbB proton channel	ABD82073.1_MotA/TolQ/ExbB_proton_channel_[Sacchar
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax_saidenbachensis	CP019239.1	APW43236	NA	protein TolQ	APW43236.1_protein_TolQ_[Rhodoferax_saidenbachens
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella_sonnei	CP055292.1	QKY92913	NA	Tol-Pal system protein TolQ	QKY92913.1_Tol-Pal_system_protein_TolQ_[Shigella_
Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_cholerae	CP043554.1	QEO41881	NA	flagellar motor protein PomA	QEO41881.1_flagellar_motor_protein_PomA_[Vibrio_c
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Lignipirellula	Lignipirellula_cremea	CP036433.1	QDU99088	NA	colicin uptake protein TolQ	QDU99088.1_colicin_uptake_protein_TolQ_[Lignipire
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans	JAHKPP010000009.1	MBU2984729	NA	MotA/TolQ/ExbB proton channel family protein	MBU2984729.1_MotA/TolQ/ExbB_proton_channel_family
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium_ulcerans	CP028105.1	AVQ29523	NA	MotA/TolQ/ExbB proton channel family protein	AVQ29523.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Pelodictyon	Pelodictyon_phaeoclathratiforme_BU-1	CP001110.1	ACF43024	NA	MotA/TolQ/ExbB proton channel	ACF43024.1_MotA/TolQ/ExbB_proton_channel_[Pelodic
Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter_succinogenes_subsp._succinogenes_S85	CP001792.1	ACX73657	NA	MotA/TolQ/ExbB proton channel	ACX73657.1_MotA/TolQ/ExbB_proton_channel_[Fibroba
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Thermocrinis	Thermocrinis_albus_DSM_14484	CP001931.1	ADC89566	NA	MotA/TolQ/ExbB proton channel	ADC89566.1_MotA/TolQ/ExbB_proton_channel_[Thermoc
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus_roseus_DSM_18391	CP003379.1	AFL88606	NA	biopolymer transport protein	AFL88606.1_biopolymer_transport_protein_[Terriglo
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter_nitrofigilis_DSM_7299	CP001999.1	ADG92230	NA	MotA/TolQ/ExbB proton channel	ADG92230.1_MotA/TolQ/ExbB_proton_channel_[Arcobac
Bacteria	Bacillota	Limnochordia	Limnochordales	Limnochordaceae	Limnochorda	Limnochorda_pilosa	AP014924.1	BAS27507	NA	flagellar motor protein MotP	BAS27507.1_flagellar_motor_protein_MotP_[Limnocho
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus	Corallococcus_coralloides_DSM_2259	CP003389.1	AFE08685	NA	MotA/TolQ/ExbB proton channel family protein	AFE08685.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli_str._K-12_substr._MG1655	U00096.3	AAC76042	NA	Ton complex subunit ExbB	AAC76042.1_Ton_complex_subunit_ExbB_[Escherichia_
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter_luteus	CP051774.1	QJE97269	NA	MotA/TolQ/ExbB proton channel family protein	QJE97269.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia_pseudotuberculosis_IP_32953	CP009712.1	AJJ56099	NA	tonB-system energizer ExbB	AJJ56099.1_tonB-system_energizer_ExbB_[Yersinia_p
Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas_phototrophica	CP011454.1	AMW06740	NA	hypothetical protein GEMMAAP_10105	AMW06740.1_hypothetical_protein_GEMMAAP_10105_[Ge
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio_japonicus	CP043306.1	QEI18926	NA	flagellar motor stator protein MotA	QEI18926.1_flagellar_motor_stator_protein_MotA_[C
Bacteria	Pseudomonadota	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	Mariprofundus_aestuarium	CP018799.1	ATX78565	NA	chemotaxis protein MotA	ATX78565.1_chemotaxis_protein_MotA_[Mariprofundus
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DZ2	CP080538.1	UEO06636	NA	MotA/TolQ/ExbB proton channel family protein	UEO06636.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Lignipirellula	Lignipirellula_cremea	CP036433.1	QDU98188	NA	Biopolymer transport protein ExbB	QDU98188.1_Biopolymer_transport_protein_ExbB_[Lig
Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Niastella	Niastella_koreensis_GR20-10	CP003178.1	AEW00830	NA	outer membrane transport energization protein ExbB	AEW00830.1_outer_membrane_transport_energization_
Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiella	Kiritimatiella_glycovorans	CP010904.1	AKJ64800	NA	Biopolymer transport protein ExbB	AKJ64800.1_Biopolymer_transport_protein_ExbB_[Kir
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio_japonicus	CP043306.1	QEI19442	NA	MotA/TolQ/ExbB proton channel family protein	QEI19442.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_autoethanogenum_DSM_10061	CP012395.1	ALU36624	NA	Chemotaxis protein MotA	ALU36624.1_Chemotaxis_protein_MotA_[Clostridium_a
Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter_pseudethanolicus_ATCC_33223	CP000924.1	ABY95376	NA	MotA/TolQ/ExbB proton channel	ABY95376.1_MotA/TolQ/ExbB_proton_channel_[Thermoa
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia_pseudotuberculosis_IP_32953	CP009712.1	AJJ56783	NA	flagellar motor stator protein MotA	AJJ56783.1_flagellar_motor_stator_protein_MotA_[Y
Bacteria	Pseudomonadota	Oligoflexia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	Peredibacter_sp.	PBAF01000045.1	MBG60779	NA	MAG protein TolQ	MBG60779.1_MAG:_protein_TolQ_[Peredibacter_sp.]
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	Sulfurovum_lithotrophicum	CP011308.1	AKF24510	NA	biopolymer transporter	AKF24510.1_biopolymer_transporter_[Sulfurovum_lit
Bacteria	Pseudomonadota	Deltaproteobacteria	Syntrophales	Syntrophaceae	Syntrophus	Syntrophus_aciditrophicus_SB	CP000252.1	ABC76751	NA	tolQ protein	ABC76751.1_tolQ_protein_[Syntrophus_aciditrophicu
Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_parahaemolyticus_RIMD_2210633	BA000032.2	BAC61496	NA	TonB system transport protein ExbB2	BAC61496.1_TonB_system_transport_protein_ExbB2_[V
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DZ2	CP080538.1	UEO05650	NA	MotA/TolQ/ExbB proton channel family protein	UEO05650.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema_pallidum_subsp._pallidum	CP095417.1	UOY13875	NA	motility protein A	UOY13875.1_motility_protein_A_[Treponema_pallidum
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_aeruginosa_PAO1	AE004091.2	AAG04082	NA	transport protein ExbB2	AAG04082.1_transport_protein_ExbB2_[Pseudomonas_a
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter_nitrofigilis_DSM_7299	CP001999.1	ADG92304	NA	MotA/TolQ/ExbB proton channel	ADG92304.1_MotA/TolQ/ExbB_proton_channel_[Arcobac
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Nibricoccus	Nibricoccus_aquaticus	CP023344.1	ATC63405	NA	flagellar motor protein MotA	ATC63405.1_flagellar_motor_protein_MotA_[Nibricoc
Bacteria	Pseudomonadota	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	Mariprofundus_ferrinatatus	CP018800.1	ATX82900	NA	chemotaxis protein MotA	ATX82900.1_chemotaxis_protein_MotA_[Mariprofundus
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas	Sulfurimonas_autotrophica_DSM_16294	CP002205.1	ADN08701	NA	outer membrane transport energization protein ExbB	ADN08701.1_outer_membrane_transport_energization_
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus_roseus_DSM_18391	CP003379.1	AFL86415	NA	biopolymer transport protein	AFL86415.1_biopolymer_transport_protein_[Terriglo
Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Nitrobacter	Nitrobacter_winogradskyi_Nb-255	CP000115.1	ABA04528	NA	outer membrane transport energization protein ExbB	ABA04528.1_outer_membrane_transport_energization_
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Rhodobacter	Rhodobacter_capsulatus_SB_1003	CP001312.1	ADE86105	NA	biopolymer transport protein ExbB	ADE86105.1_biopolymer_transport_protein_ExbB_[Rho
Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Bryobacteraceae	Paludibaculum	Paludibaculum_fermentans	CP063849.1	QOY88866	NA	flagellar motor protein	QOY88866.1_flagellar_motor_protein_[Paludibaculum
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Anatilimnocola	Anatilimnocola_aggregata	CP036274.1	QDU30851	NA	Biopolymer transport protein ExbB	QDU30851.1_Biopolymer_transport_protein_ExbB_[Ana
Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium_oryzae_CBMB20	CP003811.1	AIQ91305	NA	TolQ protein	AIQ91305.1_TolQ_protein_[Methylobacterium_oryzae_
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_nordii	CP082886.1	UAK42981	NA	MotA/TolQ/ExbB proton channel family protein	UAK42981.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Thermocrinis	Thermocrinis_albus_DSM_14484	CP001931.1	ADC89509	NA	MotA/TolQ/ExbB proton channel	ADC89509.1_MotA/TolQ/ExbB_proton_channel_[Thermoc
Bacteria	Pseudomonadota	Oligoflexia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	Peredibacter_sp.	PBAF01000007.1	MBG59205	NA	MAG biopolymer transporter ExbB	MBG59205.1_MAG:_biopolymer_transporter_ExbB_[Pere
Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	Sedimentisphaeraceae	Sedimentisphaera	Sedimentisphaera_salicampi	CP021023.1	ARN57239	NA	Biopolymer transport protein ExbB	ARN57239.1_Biopolymer_transport_protein_ExbB_[Sed
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas	Sulfurimonas_autotrophica_DSM_16294	CP002205.1	ADN09321	NA	MotA/TolQ/ExbB proton channel	ADN09321.1_MotA/TolQ/ExbB_proton_channel_[Sulfuri
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio_bacteriovorus	CP007656.1	AHZ85791	NA	flagellar motor protein MotA	AHZ85791.1_flagellar_motor_protein_MotA_[Bdellovi
Bacteria	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Dissulfurispiraceae	Dissulfurispira	Dissulfurispira_thermophila	AP022873.1	BCB95963	NA	flagellar motor protein MotA	BCB95963.1_flagellar_motor_protein_MotA_[Dissulfu
Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Rubinisphaera	Rubinisphaera_brasiliensis_DSM_5305	CP002546.1	ADY61698	NA	MotA/TolQ/ExbB proton channel	ADY61698.1_MotA/TolQ/ExbB_proton_channel_[Rubinis
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	Coprobacter_secundus_subsp._similis	AP023322.1	BCI63438	NA	flagellar motor protein MotA	BCI63438.1_flagellar_motor_protein_MotA_[Coprobac
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DZ2	CP080538.1	UEO07578	NA	MotA/TolQ/ExbB proton channel family protein	UEO07578.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_aerogenes	CP077293.1	QXB09426	NA	tol-pal system-associated acyl-CoA thioesterase	QXB09426.1_tol-pal_system-associated_acyl-CoA_thi
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio_japonicus	CP043306.1	QEI20720	NA	MotA/TolQ/ExbB proton channel family protein	QEI20720.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Candidatus Midichloriaceae	Candidatus Midichloria	Candidatus_Midichloria_mitochondrii_IricVA	CP002130.1	AEI88825	NA	Tolq transport protein	AEI88825.1_Tolq_transport_protein_[Candidatus_Mid
Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_cholerae	CP043554.1	QEO41299	NA	MotA/TolQ/ExbB proton channel family protein	QEO41299.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira_intermedia_PWS/A	CP002874.1	AEM21069	NA	Flagellar Motor Protein	AEM21069.1_Flagellar_Motor_Protein_[Brachyspira_i
Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_pittii_PHEA-2	CP002177.1	ADY81773	NA	putative biopolymer transport protein (ExbB-like)	ADY81773.1_putative_biopolymer_transport_protein_
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter_luteus	CP051774.1	QJE95191	NA	MotA/TolQ/ExbB proton channel family protein	QJE95191.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus_terrae_PB90-1	CP001032.1	ACB76604	NA	MotA/TolQ/ExbB proton channel	ACB76604.1_MotA/TolQ/ExbB_proton_channel_[Opitutu
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Ereboglobus	Ereboglobus_luteus	CP023004.1	AWI08882	NA	flagellar motor protein MotA	AWI08882.1_flagellar_motor_protein_MotA_[Ereboglo
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium_cellulosum	CP012670.1	AUX22205	NA	flagellar motor protein MotA	AUX22205.1_flagellar_motor_protein_MotA_[Sorangiu
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter_dehalogenans_2CP-1	CP001359.1	ACL64950	NA	MotA/TolQ/ExbB proton channel	ACL64950.1_MotA/TolQ/ExbB_proton_channel_[Anaerom
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia_pseudotuberculosis_IP_32953	CP009712.1	AJJ55217	NA	protein TolQ	AJJ55217.1_protein_TolQ_[Yersinia_pseudotuberculo
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter_dehalogenans_2CP-1	CP001359.1	ACL67782	NA	MotA/TolQ/ExbB proton channel	ACL67782.1_MotA/TolQ/ExbB_proton_channel_[Anaerom
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Mucispirillaceae	Mucispirillum	Mucispirillum_schaedleri_ASF457	CP097562.1	USF25003	NA	Biopolymer transport protein ExbB	USF25003.1_Biopolymer_transport_protein_ExbB_[Muc
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Geovibrionaceae	Geovibrio	Geovibrio_thiophilus	CP035108.1	QAR32927	NA	MotA/TolQ/ExbB proton channel family protein	QAR32927.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Leptospirillum	Leptospirillum_ferrooxidans_C2-3	AP012342.1	BAM06957	NA	putative MotA/TolQ/ExbB proton channel	BAM06957.1_putative_MotA/TolQ/ExbB_proton_channel
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio_bacteriovorus	CP007656.1	AHZ83632	NA	flagellar motor protein MotA	AHZ83632.1_flagellar_motor_protein_MotA_[Bdellovi
Bacteria	Pseudomonadota	Deltaproteobacteria	Syntrophales	Syntrophaceae	Syntrophus	Syntrophus_aciditrophicus_SB	CP000252.1	ABC77078	NA	chemotaxis protein	ABC77078.1_chemotaxis_protein_[Syntrophus_aciditr
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax_saidenbachensis	CP019239.1	APW42522	NA	flagellar motor protein MotA	APW42522.1_flagellar_motor_protein_MotA_[Rhodofer
Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium_oryzae_CBMB20	CP003811.1	AIQ92722	NA	Flagellar motor rotation protein MotA	AIQ92722.1_Flagellar_motor_rotation_protein_MotA_
Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella	Moorella_thermoacetica	CP017237.1	APC07901	NA	chemotaxis protein PomA	APC07901.1_chemotaxis_protein_PomA_[Moorella_ther
Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Nitrobacter	Nitrobacter_winogradskyi_Nb-255	CP000115.1	ABA03969	NA	outer membrane transport energization protein ExbB	ABA03969.1_outer_membrane_transport_energization_
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella_aurantiaca_DW4/3-1	CP002271.1	ADO76074	NA	MotA/TolQ/ExbB proton channel family protein	ADO76074.1_MotA/TolQ/ExbB_proton_channel_family_p
